,Smiles,MolLog,TPSA,NHOHCount,NOCount,NumHAcceptors,NumHDonors,NumRotatableBonds,CalcNumAmideBonds,NumHeteroatoms,NumValenceElectrons,NumSpiroAtoms,FractionCSP3,FpDensityMorgan1,ExactMolWt,Chi0,Chi1,Ipc,BertzCT,LabuteASA,IC50
359,Fc1cc(Cl)ccc1C(NC1CCN(c2ccccc2C(F)(F)F)CC1)c1cccnc1,6.240900000000004,28.16,1,3,3,1,5,0,8,168,0,0.2916666666666667,1.03125,463.143838264,22.716967702877934,15.325518406134815,16379132.174378365,1050.6100149235606,188.5891068522166,56970.0
360,O=C(C1CCCCC1)N1CCC(NC(c2ccc(C(F)(F)F)cc2)c2cnccn2)CC1,4.745700000000004,58.120000000000005,1,5,4,1,5,1,8,172,0,0.5416666666666666,1.0,446.22934620800004,22.553830996061404,15.414834803611855,19852513.92616654,874.3673782263859,185.9931447445819,83770.0
361,O=C(C1CC1)N1CCC(NC(c2ccc(C(F)(F)F)cc2)c2cnccn2)CC1,3.575400000000002,58.120000000000005,1,5,4,1,5,1,8,154,0,0.47619047619047616,1.0689655172413792,404.18239601600004,20.43251065250176,13.914834803611855,7344477.361350763,829.2547528344869,166.89831840139212,470.0
362,Fc1cc(Cl)ccc1C(NC1CCN(c2ccc(C(F)(F)F)cc2F)CC1)c1cccnc1,6.380000000000004,28.16,1,3,3,1,5,0,9,174,0,0.2916666666666667,1.0,481.13441645200004,23.587211190881014,15.71936525625217,23310119.547793828,1098.9989828695311,192.7546422551428,8.0
363,O=C(NC1CCN(C(c2ccc(C(F)(F)F)cc2)c2cccnc2)CC1)c1ccccc1C(F)(F)F,6.103000000000004,45.230000000000004,1,4,3,1,5,1,10,190,0,0.3076923076923077,0.8611111111111112,507.174531676,25.924074484064484,17.03684327154,86463990.0014421,1170.779062367155,203.50831776002437,100000.0
364,Fc1cc(Cl)ccc1C(NC1CCN(c2nccs2)CC1)c1cccnc1,4.678600000000004,41.05,1,4,5,1,5,0,7,140,0,0.3,1.2222222222222223,402.10812354,18.639617433688315,13.203509938206668,2768742.1785286674,866.9529289616187,166.58756978039924,9.0
365,CCCC=C(c1ccc(Cl)cc1)c1cccnc1,4.9668000000000045,12.89,0,1,1,0,4,0,2,92,0,0.1875,1.1666666666666667,257.097127192,12.794682450997078,8.80886175028988,16473.197198809226,514.5530409852148,113.14651907318796,79380.0
366,N#Cc1ccc(C(c2cccnc2)N2CCC(NC(=O)c3cccc(C(F)(F)F)c3)CC2)cc1,4.955880000000004,69.02000000000001,1,5,4,1,5,1,8,174,0,0.2692307692307692,1.0588235294117647,464.18239601600004,24.131181265251033,16.346686456189992,47088810.47390521,1165.1452739220701,195.40429123271437,100000.0
367,CC(C)(C)NC(=O)N1CCN(C(c2cncnc2)c2ccc(Cl)cc2F)CC1,3.484200000000002,61.36000000000001,1,6,4,1,3,2,8,150,0,0.45,1.1785714285714286,405.17316632,20.311190308942127,13.243002059931312,1513308.545159156,819.0909132488277,169.2712365317573,100000.0
368,CCN1CCN(C(c2ccc(Cl)cc2)c2cccnc2)CC1,3.4619000000000018,19.37,0,3,3,0,4,0,4,116,0,0.3888888888888889,1.0454545454545454,315.150225384,15.363596551749426,10.775188245478667,155954.62112423778,577.0410806839024,137.07984252104293,100000.0
369,CC(C)CCON=C(Cc1cccnc1)c1ccc(Cl)cc1Cl,5.397900000000004,34.480000000000004,0,3,3,0,7,0,5,122,0,0.3333333333333333,1.2608695652173914,350.09526862,16.656489770562878,11.058550648063802,138911.00628635177,657.3260908537666,146.83217877589206,260.0
370,O=C(NCC1CCCCC1)c1cccc(C(O)(c2ccc(Cl)cc2)c2cccnc2)c1,5.329300000000005,62.22,2,4,3,2,6,1,5,160,0,0.3076923076923077,1.0,434.1761057840001,21.683587508058327,15.069535341991108,14666452.041586457,1017.091661630369,187.85277165134127,100000.0
371,OC(c1ccc(Cl)cc1)(c1cccnc1)c1cccs1,4.080700000000002,33.120000000000005,1,2,3,1,3,0,4,100,0,0.0625,1.0,301.03281268399996,14.001789232183626,9.709361996684969,70805.80208619857,682.2657604895275,125.86804487645733,17.0
372,CC(C)(C)NC(=O)N1CCC(NC(c2ccc(C(F)(F)F)cc2)c2cccnc2)CC1,4.751900000000004,57.260000000000005,2,5,3,2,4,2,8,168,0,0.4782608695652174,1.064516129032258,434.22934620800004,22.648053602125586,14.526806570407933,5430027.942634249,855.1305890141323,180.59930587197948,100000.0
373,N#Cc1ccccc1OC1CCN(C(c2ccc(C(F)(F)F)cc2)c2cccnc2)CC1,5.604880000000005,49.15,0,4,4,0,5,0,7,164,0,0.28,0.96875,437.171496984,22.553830996061404,15.45283960607264,19472540.336535886,1070.0814251759157,184.4415100641728,57760.0
