Molecule ChEMBL ID;Molecule Name;Molecular Weight;#RO5 Violations;AlogP;Compound Key;Smiles;Standard Type;Standard Value;Standard Units;pChEMBL Value;Potential Duplicate;BAO Label
CHEMBL1862972;;414.45;0;21947;DNDI1433765;CS(=O)(=O)NC1CCN(C(c2ccc(C(F)(F)F)cc2)c2cnccn2)CC1;IC50;1220.0;nM;33359;False;organism-based format
CHEMBL1862793;;381.76;1;43221;DNDI1388159;OC(c1ccc(Cl)cc1)(c1cccnc1)c1ccc(C(F)(F)F)cc1F;IC50;57440.0;nM;45383;False;cell-based format
CHEMBL1863403;;309.33;0;30376;DNDI1388394;CC(C)CNC(c1ccc(C(F)(F)F)cc1)c1cnccn1;IC50;800.0;nM;44475;False;organism-based format
CHEMBL1863403;;309.33;0;30376;DNDI1388394;CC(C)CNC(c1ccc(C(F)(F)F)cc1)c1cnccn1;IC50;100000.0;nM;;False;cell-based format
CHEMBL1863333;;331.31;1;15462;DNDI1388396;Fc1ccccc1C(c1ccc(C(F)(F)F)cc1)c1cccnc1;IC50;63980.0;nM;43556;False;cell-based format
CHEMBL1863193;;329.78;0;44534;DNDI1317217;CON=C(c1ccc(Cl)cc1)C1(c2ccccc2C(=O)O)CC1;IC50;1000.0;nM;;False;organism-based format
CHEMBL1863310;;445.51;1;42125;DNDI1574839;O=C(c1ccccc1)N1CCC(NC(c2ccc(C(F)(F)F)cc2)c2cncs2)CC1;IC50;76060.0;nM;44534;False;cell-based format
CHEMBL1862988;;321.76;0;43922;DNDI1434928;O=C1OC(c2ccc(Cl)cc2)(c2cccnc2)c2ccccc21;IC50;230.0;nM;23529;False;organism-based format
CHEMBL1863015;;373.88;0;44259;DNDI1449902;CCOC(=O)NC1CCN(C(c2ccc(Cl)cc2)c2cccnc2)CC1;IC50;18.0;nM;27576;False;organism-based format
CHEMBL1863490;;396.49;0;34394;DNDI1464842;N#Cc1ccc(C(c2cccnc2)N2CCC(NC(=O)c3ccccc3)CC2)cc1;IC50;100000.0;nM;;False;cell-based format
CHEMBL1863372;;460.89;0;19450;DNDI1467775;O=C(NC1CCN(C(c2cncnc2)c2ccc(Cl)cc2F)CC1)c1c(F)cccc1F;IC50;82300.0;nM;44412;False;cell-based format
CHEMBL1863361;;323.32;0;13210;DNDI1411765;CC(C)C(=O)NC(c1ccc(C(F)(F)F)cc1)c1cnccn1;IC50;100000.0;nM;;False;cell-based format
CHEMBL1863371;;288.78;0;44532;DNDI1434925;Clc1ccc(C(c2cncnc2)N2CCNCC2)cc1;IC50;1000.0;nM;;False;organism-based format
CHEMBL1862943;;428.95;0;44986;DNDI1423074;O=S(=O)(c1ccccc1)N1CCN(C(c2ccc(Cl)cc2)c2cncnc2)CC1;IC50;76120.0;nM;;False;cell-based format
CHEMBL1863102;;338.79;0;44533;DNDI1336032;NC(=O)c1ccccc1C(O)(c1ccc(Cl)cc1)c1cccnc1;IC50;100000.0;nM;;False;cell-based format
